"","Country","Science06","Sien.S.E.06","Science09","Sien.S.E.09","Math03","Math.S.E.03","Math06","Math.S.E.06","Math09","Math.S.E.09","Reading00","Read.S.E.00","Reading03","Read.S.E.03","Reading06","Read.S.E.06","Reading09","Read.S.E.09","Science12","Sien.s.e.12","Math12","Math.s.e.12","Reading12","Read.s.e.12","Science15","Scie.s.e.15","Math15","Math.s.e.15","Reading15","Read.s.e.15","gdp2000","gdp2003","gdp2006","gdp2009","gdp2012","gdp2015","gdpg2000","gdpg2003","gdpg2006","gdpg2009","gdpg2012","gdpg2015","expend2000","exped2003","expend2006","expend2009","expend2012","expend2015","corrupt2000","corrupt2003","corrupt2006","corrupt2009","corrupt2012","corrupt2015","pol2000","pol2003","pol2006","pol2009","pol2012","pol2015"
"1","Albania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,349,3.29,NA,NA,NA,NA,385,4.04,397,2.4,394,2,394,3.2,427,3.3,413,3.4,405,4.1,2337.94,2827.46,3383.89,3928.34,4276.92,4524.64,7.35,6.17,6.1,4.05,1.59,2.52,NA,NA,NA,NA,NA,6.81,NA,NA,2.5,NA,NA,NA,-0.54,-0.31,-0.51,-0.05,-0.14,0.35
"2","Algeria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,376,2.6,360,3,350,3,3541.07,3974.18,4282.33,4386.04,4564.44,4759.6,2.43,5.85,0.21,-0.1,1.32,1.79,17.44,17.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.43,-1.75,-1.13,-1.2,-1.33,-1.09
"3","Argentina",391,6.08,401,4.58,NA,NA,381,6.24,388,4.09,418,9.86,NA,NA,374,7.17,398,4.63,406,3.9,388,3.5,396,3.7,475,6.3,456,6.9,475,7.2,8182.69,7337.79,9112.11,9428.5,10557.89,10498.59,-1.89,7.64,6.92,-6.88,-2.06,1.7,15.83,12.59,16.51,21.97,20.86,23.41,NA,NA,NA,NA,NA,NA,0.1,-0.36,0,-0.23,0.1,0.01
"4","Australia",527,2.26,527,2.53,524,2.15,520,2.24,514,2.53,528,3.52,525,2.13,513,2.06,515,2.34,521,1.8,504,1.6,512,1.6,510,1.5,494,1.6,503,1.7,44313.32,46575.42,49408.05,51689.91,53553.23,55017.25,2.71,1.72,1.33,-0.16,2.05,0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.33,0.88,0.94,0.86,1,0.88
"5","Austria",511,3.92,NA,NA,506,3.27,505,3.74,NA,NA,492,2.69,491,3.76,490,4.08,NA,NA,506,2.7,506,2.7,490,2.8,495,2.4,497,2.9,485,2.8,42001.21,43052.6,45951.73,46123.49,48172.24,47905.54,3.13,0.45,2.94,-4.02,0.22,-0.04,27.16,27.88,25.71,29.28,26.82,NA,NA,NA,NA,NA,NA,NA,0.82,0.96,1.08,1.19,1.34,1.14
"6","Azerbaijan",382,2.75,373,3.05,NA,NA,476,2.26,431,2.76,NA,NA,NA,NA,353,3.12,362,3.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1633.39,2158.01,3923.66,5639,5820.08,6117.03,10.19,10.36,33.03,7.16,0.85,-0.1,NA,NA,NA,NA,NA,NA,NA,NA,2.5,2.5,NA,NA,-0.83,-0.95,-1.09,-0.28,-0.72,-0.73
"7","Belgium",510,2.48,507,2.52,529,2.29,520,2.95,515,2.25,507,3.56,507,2.58,501,3.04,506,2.35,505,2.2,515,2.1,509,2.3,502,2.3,507,2.4,499,2.4,40170.42,41036.8,43782.14,43591.27,44337.58,45052.37,3.38,0.35,1.83,-3.04,-0.49,0.84,NA,22.09,21.5,24.84,NA,NA,NA,NA,NA,NA,NA,NA,1.13,0.86,0.86,0.82,0.92,0.59
"8","Brazil",390,2.79,405,2.43,356,4.83,370,2.93,386,2.39,396,3.1,403,4.58,393,3.74,412,2.73,405,2.1,391,2.1,410,2.1,401,2.3,377,2.9,407,2.8,8779.29,8911.32,9761.83,10538.78,11673.77,11351.57,2.61,-0.15,2.81,-1.11,0.98,-4.37,NA,NA,NA,20.11,22.39,NA,NA,NA,NA,NA,NA,NA,0.19,0.01,-0.29,0.17,0.05,-0.33
"9","B-S-J-G (China)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,518,4.6,531,4.9,494,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Bulgaria",434,6.11,439,5.86,NA,NA,413,6.13,428,5.86,430,4.89,NA,NA,402,6.91,429,6.68,446,4.8,439,4,436,6,446,4.4,441,4,432,5,3955.28,4804.48,5988.77,6709.53,7062.13,7612.02,5.46,5.99,7.69,-2.96,0.61,4.28,NA,19.52,20.04,23.16,19.46,NA,NA,NA,NA,NA,NA,NA,0.38,0.17,0.4,0.35,0.38,0.02
